date, pm25, pm10, o3, no2, so2
04/07/2020,20,7,43,4, 
05/07/2020,25,15,33,13, 
06/07/2020,39,26,30,18, 
07/07/2020,56,22,26,6, 
08/07/2020,55, , , , 
09/07/2020, ,19,28,7, 
10/07/2020,37,25,45,10, 
11/07/2020,61,22,51,10, 
12/07/2020,61,24,54,16, 
13/07/2020,60,24,43,7, 
14/07/2020,55,31,43,15, 
15/07/2020,59,20,51,16, 
16/07/2020,41,23,48,27, 
17/07/2020,61,28,35,19, 
18/07/2020,67,17,36,6, 
19/07/2020,48,25,37,14, 
20/07/2020,57,34,44,17, 
21/07/2020,65,35,42,25,1
22/07/2020,78,24,43,13, 
23/07/2020,66,18,36,5, 
24/07/2020,46,13,23,2, 
25/07/2020,37, ,24,2, 
26/07/2020, ,8,20,4, 
27/07/2020,25,4,26,3, 
28/07/2020,10,20,29,13, 
29/07/2020,42,20,32,18, 
30/07/2020,61,17,32,10, 
31/07/2020,33,8,22,3, 
01/08/2020,10,14,26,2, 
02/08/2020,32,9,21,3, 
03/08/2020,16,8,34,5,4
04/08/2020,20,16,41,7, 
05/08/2020,41,18,34,9, 
06/08/2020,47,17,33,7, 
07/08/2020,33,12,35,4, 
08/08/2020,36,10,32,2, 
09/08/2020,27,14,35,4, 
10/08/2020,34,22,33,5, 
11/08/2020,51,10,33,6, 
12/08/2020,29,7,25,4, 
13/08/2020,18,4,27,4, 
14/08/2020,16,6,26,4, 
15/08/2020,11,8,24,5, 
16/08/2020,23,19,18,9,1
17/08/2020,44,16,17,8, 
18/08/2020,43,14,16,7, 
19/08/2020,37,30,15,6, 
20/08/2020,38,14, ,6, 
21/08/2020,37, , ,3, 
22/08/2020, ,9, ,2, 
23/08/2020,13,15, ,10, 
24/08/2020,39,11,25,7, 
25/08/2020,22,4,19,4, 
26/08/2020,15,4,21,3, 
27/08/2020,10, , , , 
07/09/2020, , ,29, ,1
08/09/2020, ,26,31, , 
09/09/2020,58,43,38,36, 
10/09/2020,84,30,36,37, 
11/09/2020,68, , , , 
13/09/2020, ,17,19,15, 
14/09/2020,39,11,17,13, 
15/09/2020,23,12,16,13, 
16/09/2020,30,11,21,13, 
17/09/2020,34,14,26,12, 
18/09/2020,34, ,28,9, 
19/09/2020, , ,27,9, 
20/09/2020, ,14,28,17, 
21/09/2020,32,13,15,16, 
22/09/2020,35, ,15,6, 
23/09/2020, ,10,25,12, 
24/09/2020,29,17,32,9, 
25/09/2020,36,9,30,4, 
26/09/2020,25,4,30,3, 
27/09/2020,10,16,24,14, 
28/09/2020,40,20,33,18, 
29/09/2020,44,12,28,8, 
30/09/2020,24,13,24,14, 
01/10/2020,30,10,29,8, 
02/10/2020,19,20,29,12, 
03/10/2020,37,11,29,8, 
04/10/2020,21,12,26,10, 
05/10/2020,25,5,17,9, 
06/10/2020,11,13,25,14, 
07/10/2020,22,17,23,17, 
08/10/2020,48,10,24,9, 
09/10/2020,34,20,36,6, 
10/10/2020,47, ,30,8, 
11/10/2020, ,10,30,12, 
12/10/2020,18,12,32,8, 
13/10/2020,42,10,27,7, 
14/10/2020,21,8,29,7, 
15/10/2020,21,17,28,15, 
16/10/2020,33, ,27,24, 
17/10/2020, , ,35,12, 
18/10/2020, ,21,32,13, 
19/10/2020,44,9,32,12, 
20/10/2020,9,17,23,20, 
21/10/2020,30,14,21,24, 
22/10/2020,43,15,26,20, 
23/10/2020,41, ,31,17, 
24/10/2020, ,12,29,10, 
26/10/2020,36,14,25,20, 
27/10/2020,33,23,21,23, 
28/10/2020,48,10,25,17, 
29/10/2020,19,13,21,22, 
30/10/2020,46,20,13,25, 
31/10/2020,52,15,16,19, 
01/11/2020,45,16,12,17, 
02/11/2020,36,11,32,13, 
03/11/2020,20,17,33,7, 
04/11/2020,30,11,23,9, 
05/11/2020,22,10,23,12,1
06/11/2020,34,11,20,21, 
07/11/2020,31, ,29,10, 
08/11/2020, , ,29,3, 
09/11/2020, ,24,11,25, 
